CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID,_ESCOLA_ID,_ERROR_ID,_ERROR_INFOS,error_id,request_data
019008,DONIZETTI TAVARES DE LIMA PADRE,SAO JOAO DA BOA VISTA,TAMBAU,3º ANO EM,"2,3377","1,0823","1,71","1,0000","1,71",,3.0,INTERIOR,2021,20413,680,019008,,,,
019082,GENY GOMES DONA,SAO JOAO DA BOA VISTA,SAO SEBASTIAO DA GRAMA,9º ANO EF,"3,1840","2,3877","2,79","0,9924","2,77",,2.0,INTERIOR,2021,20413,655,019082,,,,
019082,GENY GOMES DONA,SAO JOAO DA BOA VISTA,SAO SEBASTIAO DA GRAMA,3º ANO EM,"2,8757","1,3070","2,09","0,9101","1,90",,3.0,INTERIOR,2021,20413,655,019082,,,,
019159,TARQUINIO COBRA OLYNTHO,SAO JOAO DA BOA VISTA,SAO JOSE DO RIO PARDO,5º ANO EF,"3,9657","3,1037","3,53","1,0000","3,53",,1.0,INTERIOR,2021,20413,646,019159,,,,
012725,JOSE FELIX PROF,GUARATINGUETA,POTIM,3º ANO EM,"3,4850","1,9283","2,71","0,8105","2,20","2,49",3.0,INTERIOR,2019,20202,762,012725,,,,
022500,ANSELMO BISPO DOS SANTOS,JABOTICABAL,TAIACU,9º ANO EF,"3,4433","3,0687","3,26","0,9850","3,21","3,76",2.0,INTERIOR,2019,20506,678,022500,,,,
022500,ANSELMO BISPO DOS SANTOS,JABOTICABAL,TAIACU,3º ANO EM,"3,4463","1,4707","2,46","0,9873","2,43","3,10",3.0,INTERIOR,2019,20506,678,022500,,,,
020679,JOSE JUSTINO DE OLIVEIRA,SAO JOAO DA BOA VISTA,SANTO ANTONIO DO JARDIM,9º ANO EF,"3,4567","3,0857","3,27","0,9890","3,23",,2.0,INTERIOR,2021,20413,628,020679,,,,
020679,JOSE JUSTINO DE OLIVEIRA,SAO JOAO DA BOA VISTA,SANTO ANTONIO DO JARDIM,3º ANO EM,"2,0413","1,3613","1,70","0,9286","1,58",,3.0,INTERIOR,2021,20413,628,020679,,,,
024831,FRANCISCO SALES DE ALMEIDA LEITE,TAQUARITINGA,FERNANDO PRESTES,3º ANO EM,"1,7577","1,2123","1,49","1,0000","1,49",,3.0,INTERIOR,2021,20511,303,024831,,,,
020357,LEME CARDEAL,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,9º ANO EF,"3,7220","2,8337","3,28","0,9731","3,19",,2.0,INTERIOR,2021,20413,530,020357,,,,
020357,LEME CARDEAL,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,3º ANO EM,"3,1927","1,7377","2,47","0,9693","2,39",,3.0,INTERIOR,2021,20413,530,020357,,,,
045731,VICENTE PAULO ZANCHETTA PROFESSOR,SAO JOAO DA BOA VISTA,CASA BRANCA,9º ANO EF,"3,4920","2,3803","2,94","1,0000","2,94",,2.0,INTERIOR,2021,20413,257,045731,,,,
020448,TIMOTHEO SILVA PROFESSOR,SAO JOAO DA BOA VISTA,AGUAS DA PRATA,9º ANO EF,"3,7717","3,7717","3,77","0,9433","3,56",,2.0,INTERIOR,2021,20413,154,020448,,,,
020448,TIMOTHEO SILVA PROFESSOR,SAO JOAO DA BOA VISTA,AGUAS DA PRATA,3º ANO EM,"3,2223","2,1113","2,67","0,9023","2,41",,3.0,INTERIOR,2021,20413,154,020448,,,,
020515,JOSE THEODORO DE MORAES,SAO JOAO DA BOA VISTA,AGUAI,9º ANO EF,"3,2027","2,3537","2,78","0,9916","2,76",,2.0,INTERIOR,2021,20413,152,020515,,,,
020515,JOSE THEODORO DE MORAES,SAO JOAO DA BOA VISTA,AGUAI,3º ANO EM,"1,7880","0,8943","1,34","0,9497","1,27",,3.0,INTERIOR,2021,20413,152,020515,,,,
020527,GERALDO LOURENCO PADRE,SAO JOAO DA BOA VISTA,AGUAI,9º ANO EF,"2,9540","1,9697","2,46","0,9866","2,43",,2.0,INTERIOR,2021,20413,152,020527,,,,
020527,GERALDO LOURENCO PADRE,SAO JOAO DA BOA VISTA,AGUAI,3º ANO EM,"2,6553","1,4130","2,03","0,8676","1,76",,3.0,INTERIOR,2021,20413,152,020527,,,,
917928,CONJUNTO HABITACIONAL DONA DOSANJOS MACEDO,SAO JOAO DA BOA VISTA,AGUAI,5º ANO EF,"4,0410","3,9903","4,02","1,0000","4,02",,1.0,INTERIOR,2021,20413,152,917928,,,,
020459,JOAO URIAS DA SILVA CAPITAO,SAO JOAO DA BOA VISTA,AGUAS DA PRATA,9º ANO EF,"4,5100","4,1183","4,31","0,9605","4,14",,2.0,INTERIOR,2021,20413,154,020459,,,,
925724,ROQUE IELO PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,9º ANO EF,"2,9413","1,6340","2,29","1,0000","2,29",,2.0,INTERIOR,2021,20413,236,925724,,,,
925724,ROQUE IELO PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,3º ANO EM,"2,1667","0,5833","1,38","1,0000","1,38",,3.0,INTERIOR,2021,20413,236,925724,,,,
019240,OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,5º ANO EF,"1,3640","1,2120","1,29","1,0000","1,29",,1.0,INTERIOR,2021,20413,236,019240,,,,
019240,OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,9º ANO EF,"2,8563","2,8567","2,86","1,0000","2,86",,2.0,INTERIOR,2021,20413,236,019240,,,,
019240,OSCAR WALDOMIRO DE VASCONCELLOS PROFESSOR,SAO JOAO DA BOA VISTA,CACONDE,3º ANO EM,"1,5150","0,9090","1,21","1,0000","1,21",,3.0,INTERIOR,2021,20413,236,019240,,,,
901295,ZENAIDE PERETO RIBEIRO ROCHA PROFESSORA,SAO JOAO DA BOA VISTA,MOCOCA,9º ANO EF,"2,7890","2,5177","2,65","1,0000","2,65",,2.0,INTERIOR,2021,20413,453,901295,,,,
901295,ZENAIDE PERETO RIBEIRO ROCHA PROFESSORA,SAO JOAO DA BOA VISTA,MOCOCA,3º ANO EM,"0,7017","0,7017","0,70","1,0000","0,70",,3.0,INTERIOR,2021,20413,453,901295,,,,
019124,RITA DE MACEDO BARRETO PROFESSORA,SAO JOAO DA BOA VISTA,ITOBI,9º ANO EF,"3,5583","2,3867","2,97","1,0000","2,97",,2.0,INTERIOR,2021,20413,386,019124,,,,
019124,RITA DE MACEDO BARRETO PROFESSORA,SAO JOAO DA BOA VISTA,ITOBI,3º ANO EM,"2,0370","1,3890","1,71","1,0000","1,71",,3.0,INTERIOR,2021,20413,386,019124,,,,
019343,FRANCISCO THOMAZ DE CARVALHO DOUTOR,SAO JOAO DA BOA VISTA,CASA BRANCA,9º ANO EF,"3,4817","2,3503","2,92","0,9875","2,88",,2.0,INTERIOR,2021,20413,257,019343,,,,
019343,FRANCISCO THOMAZ DE CARVALHO DOUTOR,SAO JOAO DA BOA VISTA,CASA BRANCA,3º ANO EM,"0,8333","0,8333","0,83","0,9511","0,79",,3.0,INTERIOR,2021,20413,257,019343,,,,
019288,FRANCISCO EUGENIO DE LIMA,SAO JOAO DA BOA VISTA,CASA BRANCA,9º ANO EF,"2,9120","2,1450","2,53","0,9654","2,44",,2.0,INTERIOR,2021,20413,257,019288,,,,
019288,FRANCISCO EUGENIO DE LIMA,SAO JOAO DA BOA VISTA,CASA BRANCA,3º ANO EM,"1,5060","0,7527","1,13","0,8705","0,98",,3.0,INTERIOR,2021,20413,257,019288,,,,
019239,EDUARDO VICENTE NASSER DEPUTADO,SAO JOAO DA BOA VISTA,DIVINOLANDIA,9º ANO EF,"5,6353","4,2057","4,92","0,9634","4,74",,2.0,INTERIOR,2021,20413,287,019239,,,,
019239,EDUARDO VICENTE NASSER DEPUTADO,SAO JOAO DA BOA VISTA,DIVINOLANDIA,3º ANO EM,"2,7780","1,6673","2,22","0,9371","2,08",,3.0,INTERIOR,2021,20413,287,019239,,,,
020345,JUCA LOUREIRO PROFESSOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,9º ANO EF,"3,3890","2,6110","3,00","0,9935","2,98",,2.0,INTERIOR,2021,20413,530,020345,,,,
020345,JUCA LOUREIRO PROFESSOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,3º ANO EM,"3,0057","2,2953","2,65","0,9783","2,59",,3.0,INTERIOR,2021,20413,530,020345,,,,
905495,JOSE DOS REIS PONTES,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,5º ANO EF,"5,0453","5,1347","5,09","0,9930","5,05",,1.0,INTERIOR,2021,20413,530,905495,,,,
020722,EGLE LUPORINI COSTA PROFESSORA,SAO JOAO DA BOA VISTA,AGUAI,9º ANO EF,"2,5713","1,2380","1,90","0,9848","1,87",,2.0,INTERIOR,2021,20413,152,020722,,,,
